product_id,product,current_retail_price,product_group,product_category,product_type
47,Serenity Green Tea Lg,$3.00 ,Beverages,Tea,Brewed Green tea
48,English Breakfast Rg,$2.50 ,Beverages,Tea,Brewed Black tea
49,English Breakfast Lg,$3.00 ,Beverages,Tea,Brewed Black tea
50,Earl Grey Rg,$2.50 ,Beverages,Tea,Brewed Black tea
51,Earl Grey Lg,$3.00 ,Beverages,Tea,Brewed Black tea
52,Traditional Blend Chai Rg,$2.50 ,Beverages,Tea,Brewed Chai tea
53,Traditional Blend Chai Lg,$3.00 ,Beverages,Tea,Brewed Chai tea
54,Morning Sunrise Chai Rg,$2.50 ,Beverages,Tea,Brewed Chai tea
55,Morning Sunrise Chai Lg,$4.00 ,Beverages,Tea,Brewed Chai tea
56,Spicy Eye Opener Chai Rg,$2.55 ,Beverages,Tea,Brewed Chai tea
57,Spicy Eye Opener Chai Lg,$3.10 ,Beverages,Tea,Brewed Chai tea
58,Dark chocolate Rg,$3.50 ,Beverages,Drinking Chocolate,Hot chocolate
59,Dark chocolate Lg,$4.50 ,Beverages,Drinking Chocolate,Hot chocolate
60,Sustainably Grown Organic Rg,$3.75 ,Beverages,Drinking Chocolate,Hot chocolate
61,Sustainably Grown Organic Lg,$4.75 ,Beverages,Drinking Chocolate,Hot chocolate
62,Snow Day Hot Chocolate,$3.00 ,Beverages,Drinking Chocolate,Hot chocolate
63,Carmel syrup,$0.80 ,Add-ons,Flavours,Regular syrup
64,Hazelnut syrup,$0.80 ,Add-ons,Flavours,Regular syrup
65,Sugar Free Vanilla syrup,$0.80 ,Add-ons,Flavours,Sugar free syrup
66,Pumpkin Spice Latte,$4.95 ,Beverages,Coffee,Seasonal drink
67,Pumpkin Spice Latte Lg,$5.95 ,Beverages,Coffee,Seasonal drink
68,Happy Holidays hot chocolate,$3.75 ,Beverages,Drinking Chocolate,Seasonal drink
75,Croissant,$3.25 ,Food,Bakery,Pastry
70,Cranberry Scone,$3.25 ,Food,Bakery,Scone
71,Chocolate Croissant,$3.75 ,Food,Bakery,Pastry
72,Ginger Scone,$3.25 ,Food,Bakery,Scone
73,Almond Croissant,$3.75 ,Food,Bakery,Pastry
74,Ginger Biscotti,$3.50 ,Food,Bakery,Biscotti
69,Hazelnut Biscotti,$3.50 ,Food,Bakery,Biscotti
76,Chocolate Chip Biscotti,$3.50 ,Food,Bakery,Biscotti
77,Oatmeal Scone,$3.00 ,Food,Bakery,Scone
78,Scottish Cream Scone ,$4.50 ,Food,Bakery,Scone
79,Jumbo Savory Scone,$3.75 ,Food,Bakery,Scone
80,I Need My Bean! Toque,$23.00 ,Merchandise,Branded,Clothing
81,I Need My Bean! T-shirt,$28.00 ,Merchandise,Branded,Clothing
82,I Need My Bean! Diner mug,$12.00 ,Merchandise,Branded,Housewares
83,I Need My Bean! Latte cup,$14.00 ,Merchandise,Branded,Housewares
84,Chocolate syrup,$0.80 ,Add-ons,Flavours,Regular syrup
85,Rio Nights,$6.00 ,Beverages,Coffee,Specialty coffee
87,Ouro Brasileiro shot,$3.00 ,Beverages,Coffee,Barista Espresso
88,Ouro Brasileiro shot promo,$2.10 ,Beverages,Coffee,Barista Espresso
89,Ginger Scone promo,$2.65 ,Food,Bakery,Scone
